"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"Marshmello;Bastille;Frank Walker",45,196571,0.712,0.646,5,-4.23,1,0.182,0.116,0,0.123,0.607,104.998,4
"Marshmello;CHVRCHES",75,156346,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
"Marshmello;Demi Lovato",37.5,159862,0.743,0.837,1,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,4
"Marshmello;Demi Lovato;Duke & Jones",48,154426,0.77,0.636,1,-5.787,0,0.0609,0.0811,1.87e-06,0.111,0.383,122.072,4
"Marshmello;Demi Lovato;Lost Stories",47,185483,0.702,0.626,4,-6.268,1,0.0419,0.269,7.9e-06,0.101,0.454,104.987,4
"Marshmello;Eptic;Juicy J",54,170807,0.739,0.947,2,-2.7985,1,0.0683,0.01247,1.1495e-05,0.3555,0.3065,145.0575,4
"Marshmello;Halsey",72.6666666666667,172779.333333333,0.6305,0.633,4,-7.0875,1,0.04545,0.00775333333333333,0,0.0538,0.452,93.9983333333333,4
"Marshmello;Halsey;Surf Mesa",57,174289,0.684,0.677,4,-5.398,1,0.0426,0.0305,0,0.093,0.494,113.12,4
"Marshmello;Imanbek;Usher",60,165704,0.712,0.891,6,-2.76,0,0.0401,0.00415,0,0.258,0.735,126.012,4
"Marshmello;Jonas Brothers",29.6875,154983,0.7230625,0.742125,7,-4.7610625,1,0.03995625,0.002211875,4.465e-06,0.116625,0.6425,119.977375,4
"Marshmello;Juice WRLD",67.5,108498,0.6685,0.521,4.5,-5.5195,0.5,0.0385,0.06195,0,0.505,0.2095,83.0545,4
"Marshmello;Juicy J;James Arthur",52,194533,0.491,0.617,4,-4.545,0,0.147,0.0974,0,0.27,0.17,126.816,5
"Marshmello;Kane Brown",74,181823,0.659,0.625,4,-2.253,1,0.045,0.0644,0,0.582,0.442,88.042,4
"Marshmello;Khalid",84,168205,0.716,0.7675,2,-3.883,0.5,0.0654,0.1885,0.00635248,0.1355,0.459,130.9685,4
"Marshmello;Khalid;Alok",67,172913,0.639,0.965,5,-5.21,1,0.0435,0.00632,0.148,0.364,0.408,127.027,4
"Marshmello;Khalid;ILLENIUM",59,205119,0.475,0.801,4,-3.071,1,0.0381,0.0483,0.00178,0.239,0.296,141.92,4
"Marshmello;Khalid;Slushii",46,194420,0.518,0.977,0,-2.781,1,0.0937,0.00983,0.00157,0.0632,0.269,149.964,4
"Marshmello;Khalid;Tiësto",56,202153,0.522,0.941,1,-3.357,0,0.25,0.00621,3.63e-06,0.956,0.0994,130.088,4
"Marshmello;Leah Culver",59,193777,0.63,0.9,4,-3.955,1,0.0387,0.000639,0.852,0.203,0.155,134.988,4
"Marshmello;Lil Peep",73,177600,0.546,0.822,7,-4.483,1,0.151,0.0145,0,0.742,0.615,150.06,4
"Marshmello;Mae Muller;Trippie Redd",67,153195,0.617,0.514,9,-7.099,1,0.0722,0.0154,0,0.118,0.365,81.067,4
"Marshmello;MRVLZ",48,166002,0.625,0.921,2,-3.29,1,0.0305,0.0412,1.21e-05,0.0782,0.494,100.004,4
"Marshmello;NITTI;Megan Thee Stallion",51.5,152414,0.819,0.814,10,-3.44,0,0.0382,0.00033,0.328,0.0644,0.464,125.965,4
"Marshmello;Omar LinX",60,243380,0.686,0.888,1,-3.348,1,0.0857,0.00134,0.000689,0.0736,0.108,142.015,4
"Marshmello;Ookay;Noah Cyrus",55,195200,0.573,0.951,3,-1.376,0,0.0421,0.000483,0.00451,0.172,0.408,150.063,4
"Marshmello;Pritam",56,175721,0.587,0.963,0,0.366,0,0.0552,0.0656,0,0.27,0.491,127.842,4
